Provinsi/Kabupaten/Kota;Umur Harapan Hidup Saat Lahir 2020 (Tahun)
Magetan;72.59
Ngawi;72.3
Bojonegoro;71.56
Tuban;71.43
Lamongan;72.4
Gresik;72.66
Bangkalan;70.18
Sampang;68.03
Pamekasan;67.58
Sumenep;71.41
Kota Kediri;74.02
Kota Blitar;73.75
Kota Malang;73.27
Kota Probolinggo;70.29
Kota Pasuruan;71.52
Kota Mojokerto;73.32
Kota Madiun;72.81
Kota Surabaya;74.18
Kota Batu;72.61
BANTEN;69.96
Pandeglang;64.66
Lebak;67.21
Tangerang;69.89
Serang;64.64
Kota Tangerang;71.6
Kota Cilegon;66.67
Kota Serang;68
Kota Tangerang Selatan;72.47
BALI;72.13
Jembrana;72.35
Tabanan;73.65
Badung;75.1
Gianyar;73.68
Klungkung;71.25
Bangli;70.52
Karangasem;70.47
Buleleng;71.83
Kota Denpasar;74.82
NUSA TENGGARA BARAT;66.51
Lombok Barat;66.94
Lombok Tengah;66.21
Lombok Timur;65.97
Sumbawa;67.54
Dompu;66.82
Bima;66.33
Sumbawa Barat;68.07
Lombok Utara;67.17
Kota Mataram;71.76
Kota Bima;70.38
NUSA TENGGARA TIMUR;67.01
Sumba Barat;67.08
Sumba Timur;65.13
Kupang;64.63
Timor Tengah Selatan;66.42
Timor Tengah Utara;66.96
Belu;64.61
Alor;61.48
Lembata;67.07
Flores Timur;65.2
Sikka;67.24
Ende;65.29
Ngada;68.04
Manggarai;67.03
Rote Ndao;64.6
Manggarai Barat;67.38
Sumba Tengah;68.38
Sumba Barat Daya;68.53
Nagekeo;67.13
Manggarai Timur;68.04
Sabu Raijua;60.64
Malaka;64.97
Kota Kupang;69.55
KALIMANTAN BARAT;70.69
Sambas;68.93
Bengkayang;73.83
Landak;72.84
Mempawah;71.04
Sanggau;71.42
Ketapang;71.1
Sintang;71.71
Kapuas Hulu;72.52
Sekadau;71.84
Melawi;72.97
Kayong Utara;68.28
Kubu Raya;70.59
Kota Pontianak;72.96
Kota Singkawang;72.06
KALIMANTAN TENGAH;69.74
Kotawaringin Barat;70.59
Kotawaringin Timur;69.85
Kapuas;68.74
Barito Selatan;67.09
Barito Utara;71.3
Sukamara;71.53
Lamandau;69.36
Seruyan;69.26
Katingan;65.78
Pulang Pisau;68.04
Gunung Mas;70.4
Barito Timur;68.22
Murung Raya;69.51
Kota Palangka Raya;73.21
KALIMANTAN SELATAN;68.66
Tanah Laut;69.45
Kotabaru;69.21
Banjar;67.21
Barito Kuala;66.09
Tapin;70.4
Hulu Sungai Selatan;65.97
Hulu Sungai Tengah;66.01
Hulu Sungai Utara;63.83
Tabalong;70.44
Tanah Bumbu;70.34
Balangan;67.72
Kota Banjarmasin;71.13
Kota Banjar Baru;71.99
KALIMANTAN TIMUR;74.33
Paser;72.62
Kutai Barat;72.86
Kutai Kartanegara;72.34
Kutai Timur;73.16
Berau;72.06
Penajam Paser Utara;71.41
Mahakam Ulu;72.1
Kota Balikpapan;74.49
Kota Samarinda;74.27
Kota Bontang;74.28
KALIMANTAN UTARA;72.59
Malinau;71.45
Bulungan;72.66
Tana Tidung;71.42
Nunukan;71.34
Kota Tarakan;73.97
SULAWESI UTARA;71.69
Bolaang Mongondow;69.36
Minahasa;71.08
Kepulauan Sangihe;70.1
Kepulauan Talaud;70.16
Minahasa Selatan;69.92
Minahasa Utara;71.38
Bolaang Mongondow Utara;67.66
Siau Tagulandang Biaro;70.73
Minahasa Tenggara;70.15
Bolaang Mongondow Selatan;64.49
Bolaang Mongondow Timur;67.89
Kota Manado;71.87
Kota Bitung;71.07
Kota Tomohon;71.93
Kota Kotamobagu;70.47
SULAWESI TENGAH;68.69
Banggai Kepulauan;66.31
Banggai;70.88
Morowali;69.18
Poso;71.18
Donggala;67.33
Toli-Toli;65.9
Buol;68.76
Parigi Moutong;64.3
Tojo Una-Una;65.67
Sigi;69.99
Banggai Laut;65.38
Morowali Utara;69.61
Kota Palu;71.04
SULAWESI SELATAN;70.57
Kepulauan Selayar;68.46
Bulukumba;67.92
Bantaeng;70.54
Jeneponto;66.39
Takalar;67.18
Gowa;70.43
Sinjai;67.3
Maros;69.02
Pangkajene dan Kepulauan;66.66
Barru;69.02
Bone;67.07
Soppeng;69.65
Wajo;67.35
Sidenreng Rappang;69.83
Pinrang;69.61
Enrekang;70.91
Luwu;70.34
Tana Toraja;73.3
Luwu Utara;68.51
Luwu Timur;70.53
Toraja Utara;73.39
Kota Makasar;72.09
Kota Parepare;71.27
Kota Palopo;70.88
SULAWESI TENGGARA;71.22
Buton;68.25
Muna;70.39
Konawe;70.27
Kolaka;71.06
Konawe Selatan;70.8
Bombana;68.91
Wakatobi;70.41
Kolaka Utara;70.36
Buton Utara;70.93
Konawe Utara;69.51
Kolaka Timur;72.67
Konawe Kepulauan;68.43
Muna Barat;70.34
Buton Tengah;67.66
Buton Selatan;67.66
Kota Kendari;73.77
Kota Baubau;71.19
GORONTALO;68.07
Boalemo;69.07
Gorontalo;67.58
Pohuwato;64.07
Bone Bolango;68.46
Gorontalo Utara;65.87
Kota Gorontalo;72.49
SULAWESI BARAT;65.06
Majene;61.56
Polewali Mandar;62.38
Mamasa;70.87
Mamuju;67.52
Mamuju Utara / Pasangkayu;66.2
Mamuju Tengah;68.33
MALUKU;65.98
Maluku Tenggara Barat / Kepulauan Tanimbar;63.42
Maluku Tenggara;65.07
Maluku Tengah;66.42
Buru;66.41
Kepulauan Aru;62.87
Seram Bagian Barat;61.69
Seram Bagian Timur;59.41
Maluku Barat Daya;62.38
Buru Selatan;66.27
Kota Ambon;70.52
Kota Tual;65.47
MALUKU UTARA;68.33
Halmahera Barat;66.25
Halmahera Tengah;63.91
Kepulauan Sula;63.3
Halmahera Selatan;65.86
Halmahera Utara;69.56
Halmahera Timur;68.88
Pulau Morotai;67.18
Pulau Taliabu;62.1
Kota Ternate;70.97
Kota Tidore Kepulauan;69.34
PAPUA BARAT;66.02
Fakfak;68.47
Kaimana;64.81
Teluk Wondama;60.1
Teluk Bintuni;60.83
Manokwari;68.68
Sorong Selatan;66.25
Sorong;66.1
Raja Ampat;64.74
Tambrauw;60.13
Maybrat;65.19
Manokwari Selatan;67.58
Pegunungan Arfak;67.24
Kota Sorong;70.7
PAPUA BARAT DAYA;-
Raja Ampat;-
Sorong;-
Sorong Selatan;-
Maybrat;-
Tambrauw;-
Kota Sorong;-
PAPUA;65.79
Merauke;67
Jayawijaya;59.64
Jayapura;67.05
Nabire;68.06
Kepulauan Yapen;69.12
Biak Numfor;68.25
Paniai;66.44
Puncak Jaya;65.15
Mimika;72.32
Boven Digoel;59.97
Mappi;65.11
Asmat;58.05
Yahukimo;65.93
Pegunungan Bintang;64.44
Tolikara;65.71
Sarmi;66.36
Keerom;66.69
Waropen;66.33
Supiori;65.94
Mamberamo Raya;57.77
Nduga;55.27
Lanny Jaya;66.06
Mamberamo Tengah;63.59
Yalimo;65.42
Puncak;65.74
Dogiyai;65.73
Intan Jaya;65.6
Deiyai;65.24
Kota Jayapura;70.45
PAPUA SELATAN;-
Merauke;-
Boven Digoel;-
Mappi;-
Asmat;-
PAPUA TENGAH;-
Mimika;-
Dogiyai;-
Deiyai;-
Nabire;-
Paniai;-
Intan Jaya;-
Puncak;-
Puncak Jaya;-
PAPUA PEGUNUNGAN;-
Nduga;-
Jayawijaya;-
Lanny Jaya;-
Tolikara;-
Mamberamo Tengah;-
Yalimo;-
Yahukimo;-
Pegunungan Bintang;-
INDONESIA;71.47
