Provinsi/Kabupaten/Kota;Umur Harapan Hidup Saat Lahir 2024 (Tahun)
ACEH;70.44
Simeulue;65.73
Aceh Singkil;67.89
Aceh Selatan;64.97
Aceh Tenggara;68.78
Aceh Timur;69.18
Aceh Tengah;69.3
Aceh Barat;68.48
Aceh Besar;70.29
Pidie;67.41
Bireuen;71.83
Aceh Utara;69.28
Aceh Barat Daya;65.65
Gayo Lues;66.03
Aceh Tamiang;70.21
Nagan Raya;69.75
Aceh Jaya;67.69
Bener Meriah;69.79
Pidie Jaya;70.77
Kota Banda Aceh;72.17
Kota Sabang;71.17
Kota Langsa;69.92
Kota Lhokseumawe;72.25
Kota Subulussalam;64.51
SUMATERA UTARA;70.28
Nias;70.52
Mandailing Natal;63.65
Tapanuli Selatan;65.74
Tapanuli Tengah;68.18
Tapanuli Utara;69.77
Toba Samosir / Toba;71.42
Labuhan Batu;70.99
Asahan;69.27
Simalungun;72.38
Dairi;70.27
Karo;72.44
Deli Serdang;72.48
Langkat;69.9
Nias Selatan;69.8
Humbang Hasundutan;70.49
Pakpak Bharat;67.24
Samosir;72.41
Serdang Bedagai;69.83
Batu Bara;68.11
Padang Lawas Utara;67.99
Padang Lawas;67.87
Labuhan Batu Selatan;69.73
Labuhan Batu Utara;70.47
Nias Utara;70.44
Nias Barat;70.2
Kota Sibolga;70.38
Kota Tanjung Balai;64.44
Kota Pematang Siantar;75.05
Kota Tebing Tinggi;71.78
Kota Medan;74.16
Kota Binjai;73.28
Kota Padangsidimpuan;70.43
Kota Gunungsitoli;72.25
SUMATERA BARAT;70.33
Kepulauan Mentawai;65.27
Pesisir Selatan;71.59
Solok;69.8
Sijunjung;67.32
Tanah Datar;70.96
Padang Pariaman;70.1
Agam;73.47
Lima Puluh Kota;70.46
Pasaman;68.61
Solok Selatan;68.99
Dharmasraya;72.6
Pasaman Barat;68.81
Kota Padang;74.42
Kota Solok;74.73
Kota Sawah Lunto;70.92
Kota Padang Panjang;73.61
Kota Bukittinggi;75.42
Kota Payakumbuh;74.77
Kota Pariaman;71.17
RIAU;72.52
Kuantan Singingi;69.44
Indragiri Hulu;70.86
Indragiri Hilir;68.7
Pelalawan;72.13
Siak;71.75
Kampar;71.56
Rokan Hulu;70.95
Bengkalis;71.92
Rokan Hilir;71.11
Kepulauan Meranti;68.48
Kota Pekanbaru;73.21
Kota Dumai;71.78
JAMBI;72.04
Kerinci;70.8
Merangin;71.95
Sarolangun;69.92
Batang Hari;71.55
Muaro Jambi;72.09
Tanjung Jabung Timur;67.26
Tanjung Jabung Barat;68.91
Tebo;70.69
Bungo;68.71
Kota Jambi;73.66
Kota Sungai Penuh;73.2
SUMATERA SELATAN;70.93
Ogan Komering Ulu;69.02
Ogan Komering Ilir;69.48
Muara Enim;69.93
Lahat;67.11
Musi Rawas;69.15
Musi Banyuasin;69.72
Banyu Asin;69.96
Ogan Komering Ulu Selatan;68.25
Ogan Komering Ulu Timur;70
Ogan Ilir;66.54
Empat Lawang;65.87
Penukal Abab Lematang Ilir;69.17
Musi Rawas Utara;66.56
Kota Palembang;72.35
Kota Prabumulih;71.59
Kota Pagar Alam;67.98
Kota Lubuklinggau;70.59
BENGKULU;70.13
Bengkulu Selatan;68.53
Rejang Lebong;69.42
Bengkulu Utara;68.99
Kaur;67.51
Seluma;68.53
Mukomuko;67.57
Lebong;64.13
Kepahiang;68.61
Bengkulu Tengah;68.64
Kota Bengkulu;71.03
LAMPUNG;71.5
Lampung Barat;68.4
Tanggamus;69.56
Lampung Selatan;70.32
Lampung Timur;71.53
Lampung Tengah;70.55
Lampung Utara;70.13
Way Kanan;70.16
Tulangbawang;70.56
Pesawaran;70.13
Pringsewu;71.21
Mesuji;69.04
Tulang Bawang Barat;70.64
Pesisir Barat;64.69
Kota Bandar Lampung;72.24
Kota Metro;72.44
KEP. BANGKA BELITUNG;71.49
Bangka;71.8
Belitung;71.75
Bangka Barat;70.59
Bangka Tengah;72.36
Bangka Selatan;69.24
Belitung Timur;72.85
Kota Pangkal Pinang;74.24
KEPULAUAN RIAU;71.24
Karimun;72.2
