Provinsi/Kabupaten/Kota;Umur Harapan Hidup Saat Lahir 2024 (Tahun)
Bintan;71.21
Natuna;66.41
Lingga;63.73
Kepulauan Anambas;68.37
Kota Batam;74.28
Kota Tanjung Pinang;73.02
DKI JAKARTA;73.87
Kep. Seribu;69.78
Kota Jakarta Selatan;75.02
Kota Jakarta Timur;75.38
Kota Jakarta Pusat;75.09
Kota Jakarta Barat;74.48
Kota Jakarta Utara;73.69
JAWA BARAT;74.07
Bogor;72.16
Sukabumi;72.06
Cianjur;70.96
Bandung;74.53
Garut;72.28
Tasikmalaya;70.39
Ciamis;72.87
Kuningan;74.53
Cirebon;73.04
Majalengka;71.31
Sumedang;73.45
Indramayu;72.77
Subang;73.51
Purwakarta;71.99
Karawang;73.14
Bekasi;74.57
Bandung Barat;73.34
Pangandaran;72.41
Kota Bogor;74.74
Kota Sukabumi;73.35
Kota Bandung;75.37
Kota Cirebon;73.34
Kota Bekasi;76.12
Kota Depok;75.55
Kota Cimahi;75.1
Kota Tasikmalaya;73.16
Kota Banjar;72.03
JAWA TENGAH;74.93
Cilacap;74.57
Banyumas;74.34
Purbalingga;73.56
Banjarnegara;74.66
Kebumen;73.96
Purworejo;75.51
Wonosobo;72.4
Magelang;74.45
Boyolali;76.44
Klaten;77.3
Sukoharjo;78.01
Wonogiri;76.84
Karanganyar;77.91
Sragen;76.18
Grobogan;75.24
Blora;74.84
Rembang;74.97
Pati;76.56
Kudus;77.08
Jepara;76.21
Demak;75.79
Semarang;76.14
Temanggung;75.95
Kendal;74.73
Batang;75.03
Pekalongan;74
Pemalang;73.99
Tegal;72.16
Brebes;70.29
Kota Magelang;77.53
Kota Surakarta;77.9
Kota Salatiga;78.26
Kota Semarang;78.24
Kota Pekalongan;74.8
Kota Tegal;74.87
D I YOGYAKARTA;75.22
Kulon Progo;75.41
Bantul;74.17
Gunung Kidul;74.35
Sleman;75.29
Kota Yogyakarta;75.11
JAWA TIMUR;72.35
Pacitan;73.04
Ponorogo;73.74
Trenggalek;74.83
Tulungagung;75.11
Blitar;74.54
Kediri;73.47
Malang;73.45
Lumajang;71.14
Jember;70.2
Banyuwangi;71.57
Bondowoso;67.76
Situbondo;70.11
Probolinggo;68.28
Pasuruan;71
Sidoarjo;74.91
Mojokerto;73.45
Jombang;73.42
Nganjuk;72.48
Madiun;72.47
Magetan;73.49
Ngawi;73.39
Bojonegoro;72.76
Tuban;72.54
Lamongan;73.41
Gresik;73.5
Bangkalan;70.96
Sampang;68.81
Pamekasan;68.48
Sumenep;72.65
Kota Kediri;74.87
Kota Blitar;74.86
Kota Malang;74.33
Kota Probolinggo;71.18
Kota Pasuruan;72.5
Kota Mojokerto;74.29
Kota Madiun;73.65
Kota Surabaya;74.94
Kota Batu;73.49
BANTEN;71.02
Pandeglang;65.79
Lebak;68.34
Tangerang;70.88
Serang;65.9
Kota Tangerang;72.46
Kota Cilegon;67.66
Kota Serang;69.27
Kota Tangerang Selatan;73.31
BALI;73.29
Jembrana;73.51
Tabanan;74.8
Badung;76.18
Gianyar;74.86
Klungkung;72.5
Bangli;71.63
Karangasem;71.53
Buleleng;72.92
Kota Denpasar;76.01
NUSA TENGGARA BARAT;67.73
Lombok Barat;68.35
Lombok Tengah;67.32
Lombok Timur;67.2
Sumbawa;68.81
Dompu;67.99
Bima;67.52
Sumbawa Barat;69.54
Lombok Utara;68.43
Kota Mataram;72.75
Kota Bima;71.41
NUSA TENGGARA TIMUR;67.99
Sumba Barat;67.72
Sumba Timur;66.05
Kupang;65.95
Timor Tengah Selatan;67.03
Timor Tengah Utara;67.82
Belu;65.93
Alor;62.62
Lembata;68.12
Flores Timur;66.21
Sikka;68.52
Ende;66.3
Ngada;68.92
Manggarai;67.89
Rote Ndao;65.85
Manggarai Barat;68.3
Sumba Tengah;69.1
Sumba Barat Daya;69.2
Nagekeo;68.17
Manggarai Timur;68.69
Sabu Raijua;61.27
Malaka;65.99
Kota Kupang;70.84
KALIMANTAN BARAT;71.55
Sambas;70.11
Bengkayang;74.42
Landak;74
Mempawah;71.87
Sanggau;71.91
Ketapang;71.64
Sintang;72.72
Kapuas Hulu;73.05
Sekadau;72.96
Melawi;73.49
Kayong Utara;69.51
Kubu Raya;71.44
Kota Pontianak;74.15
Kota Singkawang;72.98
KALIMANTAN TENGAH;70.43
Kotawaringin Barat;71.38
Kotawaringin Timur;70.51
Kapuas;69.34
Barito Selatan;67.86
Barito Utara;71.8
Sukamara;72.15
Lamandau;69.98
Seruyan;69.72
Katingan;66.52
Pulang Pisau;68.74
Gunung Mas;71.1
Barito Timur;69.02
Murung Raya;70.04
Kota Palangka Raya;73.82
KALIMANTAN SELATAN;69.65
Tanah Laut;70.31
Kotabaru;69.93
Banjar;68.26
Barito Kuala;67.07
Tapin;71.35
Hulu Sungai Selatan;67.17
Hulu Sungai Tengah;67.12
Hulu Sungai Utara;65.26
Tabalong;71.46
Tanah Bumbu;71.11
Balangan;68.59
Kota Banjarmasin;72.1
Kota Banjar Baru;72.82
KALIMANTAN TIMUR;75.03
Paser;73.17
Kutai Barat;73.37
Kutai Kartanegara;72.94
Kutai Timur;73.75
Berau;72.59
Penajam Paser Utara;72.04
Mahakam Ulu;72.65
Kota Balikpapan;75.1
Kota Samarinda;74.9
Kota Bontang;74.88
KALIMANTAN UTARA;72.73
Malinau;71.53
Bulungan;72.81
Tana Tidung;71.57
Nunukan;71.44
Kota Tarakan;74.11
SULAWESI UTARA;72.69
Bolaang Mongondow;70.31
Minahasa;72.11
Kepulauan Sangihe;70.99
Kepulauan Talaud;71.21
Minahasa Selatan;70.94
Minahasa Utara;72.27
Bolaang Mongondow Utara;68.56
Siau Tagulandang Biaro;71.87
Minahasa Tenggara;71.17
Bolaang Mongondow Selatan;65.11
Bolaang Mongondow Timur;68.73
Kota Manado;72.78
Kota Bitung;71.95
Kota Tomohon;73.17
Kota Kotamobagu;71.63
SULAWESI TENGAH;69.42
Banggai Kepulauan;67.08
Banggai;71.09
Morowali;69.41
Poso;71.34
Donggala;68.01
Toli-Toli;67.03
Buol;69.99
Parigi Moutong;64.66
Tojo Una-Una;66.6
Sigi;70.48
Banggai Laut;66.31
Morowali Utara;70.06
Kota Palu;71.56
SULAWESI SELATAN;71.43
Kepulauan Selayar;69.26
Bulukumba;69
Bantaeng;71.3
Jeneponto;67.16
Takalar;68.11
Gowa;71.06
Sinjai;68.13
Maros;69.68
Pangkajene dan Kepulauan;67.59
Barru;69.73
Bone;68.1
Soppeng;70.79
Wajo;68.32
Sidenreng Rappang;71.03
Pinrang;70.65
Enrekang;71.51
Luwu;71.23
Tana Toraja;74.23
Luwu Utara;69.67
Luwu Timur;71.42
Toraja Utara;74
Kota Makasar;72.78
Kota Parepare;71.98
Kota Palopo;71.6
SULAWESI TENGGARA;71.6
Buton;68.67
Muna;70.67
Konawe;70.52
Kolaka;71.56
Konawe Selatan;71.1
Bombana;69.49
Wakatobi;70.87
Kolaka Utara;70.56
Buton Utara;71.09
Konawe Utara;69.78
Kolaka Timur;73.13
Konawe Kepulauan;68.6
Muna Barat;70.55
Buton Tengah;68.03
Buton Selatan;67.97
Kota Kendari;74.23
Kota Baubau;71.67
GORONTALO;69.09
Boalemo;70.11
Gorontalo;68.23
Pohuwato;65.18
Bone Bolango;69.49
Gorontalo Utara;66.95
Kota Gorontalo;73.55
SULAWESI BARAT;66.27
Majene;62.89
Polewali Mandar;63.46
Mamasa;71.58
Mamuju;69.02
Mamuju Utara / Pasangkayu;67.66
Mamuju Tengah;69.68
MALUKU;66.99
Maluku Tenggara Barat / Kepulauan Tanimbar;64.11
Maluku Tenggara;66.02
Maluku Tengah;67.26
Buru;67.21
Kepulauan Aru;63.76
Seram Bagian Barat;62.9
Seram Bagian Timur;60.8
Maluku Barat Daya;63.7
Buru Selatan;67.15
Kota Ambon;71.62
Kota Tual;67.01
MALUKU UTARA;69.35
Halmahera Barat;67.13
Halmahera Tengah;65.35
Kepulauan Sula;64.22
Halmahera Selatan;66.71
Halmahera Utara;70.35
Halmahera Timur;70.04
Pulau Morotai;68.39
Pulau Taliabu;63.05
Kota Ternate;71.98
Kota Tidore Kepulauan;70.22
PAPUA BARAT;67.05
Fakfak;69.16
Kaimana;65.86
Teluk Wondama;61.08
Teluk Bintuni;62.04
Manokwari;69.8
Sorong Selatan;-
Sorong;-
Raja Ampat;-
Tambrauw;-
Maybrat;-
Manokwari Selatan;68.26
Pegunungan Arfak;67.84
Kota Sorong;-
PAPUA BARAT DAYA;67.85
Raja Ampat;65.56
Sorong;67.12
Sorong Selatan;67.14
Maybrat;65.97
Tambrauw;61.35
Kota Sorong;71.97
PAPUA;68.79
Merauke;-
Jayawijaya;-
Jayapura;68.08
Nabire;-
Kepulauan Yapen;69.83
Biak Numfor;68.97
Paniai;-
Puncak Jaya;-
Mimika;-
Boven Digoel;-
Mappi;-
Asmat;-
Yahukimo;-
Pegunungan Bintang;-
Tolikara;-
Sarmi;67.38
Keerom;67.44
Waropen;67.11
Supiori;66.93
Mamberamo Raya;58.71
Nduga;-
Lanny Jaya;-
Mamberamo Tengah;-
Yalimo;-
Puncak;-
Dogiyai;-
Intan Jaya;-
Deiyai;-
Kota Jayapura;71.41
PAPUA SELATAN;66.45
Merauke;67.77
Boven Digoel;61.21
Mappi;66.01
Asmat;59.36
PAPUA TENGAH;66.99
Mimika;73.06
Dogiyai;66.5
Deiyai;66.07
Nabire;69.02
Paniai;67.38
Intan Jaya;66.18
Puncak;66.53
Puncak Jaya;66.04
PAPUA PEGUNUNGAN;64.8
Nduga;55.74
Jayawijaya;60.65
Lanny Jaya;66.62
Tolikara;66.53
Mamberamo Tengah;64.18
Yalimo;66.12
Yahukimo;66.55
Pegunungan Bintang;65.17
INDONESIA;72.39
