Provinsi/Kabupaten/Kota;Umur Harapan Hidup Saat Lahir 2021 (Tahun)
Madiun;71.5
Magetan;72.65
Ngawi;72.41
Bojonegoro;71.72
Tuban;71.56
Lamongan;72.49
Gresik;72.67
Bangkalan;70.22
Sampang;68.07
Pamekasan;67.67
Sumenep;71.56
Kota Kediri;74.04
Kota Blitar;73.86
Kota Malang;73.36
Kota Probolinggo;70.35
Kota Pasuruan;71.6
Kota Mojokerto;73.39
Kota Madiun;72.83
Kota Surabaya;74.18
Kota Batu;72.65
BANTEN;70.02
Pandeglang;64.79
Lebak;67.33
Tangerang;69.93
Serang;64.76
Kota Tangerang;71.6
Kota Cilegon;66.69
Kota Serang;68.12
Kota Tangerang Selatan;72.47
BALI;72.24
Jembrana;72.46
Tabanan;73.75
Badung;75.18
Gianyar;73.78
Klungkung;71.41
Bangli;70.62
Karangasem;70.56
Buleleng;71.95
Kota Denpasar;74.93
NUSA TENGGARA BARAT;66.69
Lombok Barat;67.19
Lombok Tengah;66.38
Lombok Timur;66.16
Sumbawa;67.73
Dompu;66.99
Bima;66.5
Sumbawa Barat;68.31
Lombok Utara;67.36
Kota Mataram;71.88
Kota Bima;70.5
NUSA TENGGARA TIMUR;67.15
Sumba Barat;67.12
Sumba Timur;65.16
Kupang;64.91
Timor Tengah Selatan;66.46
Timor Tengah Utara;67.09
Belu;64.89
Alor;61.64
Lembata;67.2
Flores Timur;65.31
Sikka;67.45
Ende;65.43
Ngada;68.12
Manggarai;67.11
Rote Ndao;64.88
Manggarai Barat;67.46
Sumba Tengah;68.42
Sumba Barat Daya;68.57
Nagekeo;67.25
Manggarai Timur;68.07
Sabu Raijua;60.66
Malaka;65.01
Kota Kupang;69.73
KALIMANTAN BARAT;70.76
Sambas;69.08
Bengkayang;73.84
Landak;73.04
Mempawah;71.18
Sanggau;71.42
Ketapang;71.11
Sintang;71.84
Kapuas Hulu;72.53
Sekadau;72.05
Melawi;72.98
Kayong Utara;68.48
Kubu Raya;70.69
Kota Pontianak;73.12
Kota Singkawang;72.18
KALIMANTAN TENGAH;69.79
Kotawaringin Barat;70.68
Kotawaringin Timur;69.9
Kapuas;68.78
Barito Selatan;67.19
Barito Utara;71.3
Sukamara;71.56
Lamandau;69.39
Seruyan;69.26
Katingan;65.87
Pulang Pisau;68.1
Gunung Mas;70.46
Barito Timur;68.31
Murung Raya;69.53
Kota Palangka Raya;73.24
KALIMANTAN SELATAN;68.83
Tanah Laut;69.59
Kotabaru;69.32
Banjar;67.41
Barito Kuala;66.27
Tapin;70.57
Hulu Sungai Selatan;66.12
Hulu Sungai Tengah;66.2
Hulu Sungai Utara;64.1
Tabalong;70.57
Tanah Bumbu;70.45
Balangan;67.85
Kota Banjarmasin;71.29
Kota Banjar Baru;72.1
KALIMANTAN TIMUR;74.61
Paser;72.88
Kutai Barat;73.1
Kutai Kartanegara;72.64
Kutai Timur;73.46
Berau;72.32
Penajam Paser Utara;71.68
Mahakam Ulu;72.33
Kota Balikpapan;74.76
Kota Samarinda;74.54
Kota Bontang;74.55
KALIMANTAN UTARA;72.65
Malinau;71.49
Bulungan;72.74
Tana Tidung;71.49
Nunukan;71.4
Kota Tarakan;74.04
SULAWESI UTARA;71.76
Bolaang Mongondow;69.45
Minahasa;71.16
Kepulauan Sangihe;70.18
Kepulauan Talaud;70.24
Minahasa Selatan;70.01
Minahasa Utara;71.4
Bolaang Mongondow Utara;67.73
Siau Tagulandang Biaro;70.87
Minahasa Tenggara;70.21
Bolaang Mongondow Selatan;64.49
Bolaang Mongondow Timur;67.94
Kota Manado;71.9
Kota Bitung;71.1
Kota Tomohon;72.06
Kota Kotamobagu;70.6
SULAWESI TENGAH;68.83
Banggai Kepulauan;66.59
Banggai;70.88
Morowali;69.23
Poso;71.19
Donggala;67.5
Toli-Toli;66.18
Buol;69.05
Parigi Moutong;64.35
Tojo Una-Una;65.9
Sigi;70.09
Banggai Laut;65.67
Morowali Utara;69.71
Kota Palu;71.09
SULAWESI SELATAN;70.66
Kepulauan Selayar;68.52
Bulukumba;68.1
Bantaeng;70.6
Jeneponto;66.49
Takalar;67.3
Gowa;70.45
Sinjai;67.38
Maros;69.04
Pangkajene dan Kepulauan;66.78
Barru;69.07
Bone;67.21
Soppeng;69.81
Wajo;67.48
Sidenreng Rappang;70.01
Pinrang;69.77
Enrekang;70.93
Luwu;70.44
Tana Toraja;73.4
Luwu Utara;68.67
Luwu Timur;70.63
Toraja Utara;73.41
Kota Makasar;72.13
Kota Parepare;71.31
Kota Palopo;70.92
SULAWESI TENGGARA;71.27
Buton;68.39
Muna;70.41
Konawe;70.32
Kolaka;71.21
Konawe Selatan;70.87
Bombana;69.09
Wakatobi;70.48
Kolaka Utara;70.36
Buton Utara;70.93
Konawe Utara;69.53
Kolaka Timur;72.82
Konawe Kepulauan;68.43
Muna Barat;70.35
Buton Tengah;67.69
Buton Selatan;67.69
Kota Kendari;73.83
Kota Baubau;71.25
GORONTALO;68.19
Boalemo;69.3
Gorontalo;67.69
Pohuwato;64.3
Bone Bolango;68.52
Gorontalo Utara;65.93
Kota Gorontalo;72.53
SULAWESI BARAT;65.25
Majene;61.77
Polewali Mandar;62.53
Mamasa;70.94
Mamuju;67.77
Mamuju Utara / Pasangkayu;66.45
Mamuju Tengah;68.55
MALUKU;66.09
Maluku Tenggara Barat / Kepulauan Tanimbar;63.45
Maluku Tenggara;65.14
Maluku Tengah;66.45
Buru;66.44
Kepulauan Aru;62.96
Seram Bagian Barat;61.85
Seram Bagian Timur;59.62
Maluku Barat Daya;62.55
Buru Selatan;66.36
Kota Ambon;70.63
Kota Tual;65.68
MALUKU UTARA;68.45
Halmahera Barat;66.34
Halmahera Tengah;64.15
Kepulauan Sula;63.39
Halmahera Selatan;65.93
Halmahera Utara;69.61
Halmahera Timur;69.08
Pulau Morotai;67.35
Pulau Taliabu;62.22
Kota Ternate;71.06
Kota Tidore Kepulauan;69.43
PAPUA BARAT;66.14
Fakfak;68.5
Kaimana;64.93
Teluk Wondama;60.24
Teluk Bintuni;60.99
Manokwari;68.82
Sorong Selatan;66.39
Sorong;66.22
Raja Ampat;64.83
Tambrauw;60.2
Maybrat;65.25
Manokwari Selatan;67.6
Pegunungan Arfak;67.26
Kota Sorong;70.93
PAPUA BARAT DAYA;-
Raja Ampat;-
Sorong;-
Sorong Selatan;-
Maybrat;-
Tambrauw;-
Kota Sorong;-
PAPUA;65.93
Merauke;67.07
Jayawijaya;59.9
Jayapura;67.16
Nabire;68.15
Kepulauan Yapen;69.17
Biak Numfor;68.29
Paniai;66.62
Puncak Jaya;65.33
Mimika;72.36
Boven Digoel;60.32
Mappi;65.31
Asmat;58.59
Yahukimo;66.05
Pegunungan Bintang;64.54
Tolikara;65.83
Sarmi;66.46
Keerom;66.78
Waropen;66.42
Supiori;66.06
Mamberamo Raya;58
Nduga;55.43
Lanny Jaya;66.11
Mamberamo Tengah;63.75
Yalimo;65.49
Puncak;65.86
Dogiyai;65.85
Intan Jaya;65.69
Deiyai;65.36
Kota Jayapura;70.52
PAPUA SELATAN;-
Merauke;-
Boven Digoel;-
Mappi;-
Asmat;-
PAPUA TENGAH;-
Mimika;-
Dogiyai;-
Deiyai;-
Nabire;-
Paniai;-
Intan Jaya;-
Puncak;-
Puncak Jaya;-
PAPUA PEGUNUNGAN;-
Nduga;-
Jayawijaya;-
Lanny Jaya;-
Tolikara;-
Mamberamo Tengah;-
Yalimo;-
Yahukimo;-
Pegunungan Bintang;-
INDONESIA;71.57
