Provinsi/Kabupaten/Kota;Harapan Lama Sekolah 2021 (Tahun)
Magetan;14.04
Ngawi;12.83
Bojonegoro;12.68
Tuban;12.22
Lamongan;13.77
Gresik;13.77
Bangkalan;11.73
Sampang;12.38
Pamekasan;13.65
Sumenep;13.33
Kota Kediri;15.27
Kota Blitar;14.33
Kota Malang;15.75
Kota Probolinggo;13.6
Kota Pasuruan;13.63
Kota Mojokerto;14.01
Kota Madiun;14.41
Kota Surabaya;14.81
Kota Batu;14.16
BANTEN;13.02
Pandeglang;13.49
Lebak;11.98
Tangerang;12.84
Serang;12.58
Kota Tangerang;13.87
Kota Cilegon;13.18
Kota Serang;12.79
Kota Tangerang Selatan;14.66
BALI;13.4
Jembrana;12.92
Tabanan;13.01
Badung;13.99
Gianyar;13.97
Klungkung;13
Bangli;12.35
Karangasem;12.42
Buleleng;13.08
Kota Denpasar;14.09
NUSA TENGGARA BARAT;13.9
Lombok Barat;13.95
Lombok Tengah;13.85
Lombok Timur;13.9
Sumbawa;13.07
Dompu;13.53
Bima;13.39
Sumbawa Barat;13.64
Lombok Utara;12.76
Kota Mataram;15.64
Kota Bima;15.04
NUSA TENGGARA TIMUR;13.2
Sumba Barat;13.12
Sumba Timur;12.83
Kupang;13.86
Timor Tengah Selatan;12.58
Timor Tengah Utara;13.32
Belu;12.28
Alor;12.24
Lembata;12.43
Flores Timur;12.92
Sikka;13.43
Ende;13.79
Ngada;12.71
Manggarai;13.69
Rote Ndao;13.19
Manggarai Barat;12.29
Sumba Tengah;13.04
Sumba Barat Daya;13.07
Nagekeo;12.49
Manggarai Timur;12.26
Sabu Raijua;13.15
Malaka;12.79
Kota Kupang;16.41
KALIMANTAN BARAT;12.65
Sambas;12.63
Bengkayang;12.1
Landak;12.43
Mempawah;12.65
Sanggau;11.59
Ketapang;11.81
Sintang;12.04
Kapuas Hulu;12.08
Sekadau;11.89
Melawi;11.17
Kayong Utara;11.84
Kubu Raya;13.87
Kota Pontianak;15.01
Kota Singkawang;12.91
KALIMANTAN TENGAH;12.74
Kotawaringin Barat;12.73
Kotawaringin Timur;12.85
Kapuas;12.93
Barito Selatan;12.66
Barito Utara;12.5
Sukamara;12.13
Lamandau;12.49
Seruyan;12
Katingan;12.81
Pulang Pisau;12.42
Gunung Mas;11.9
Barito Timur;12.84
Murung Raya;11.76
Kota Palangka Raya;14.96
KALIMANTAN SELATAN;12.81
Tanah Laut;12.31
Kotabaru;11.95
Banjar;12.73
Barito Kuala;12.4
Tapin;11.95
Hulu Sungai Selatan;12.38
Hulu Sungai Tengah;12.21
Hulu Sungai Utara;12.92
Tabalong;12.89
Tanah Bumbu;12.48
Balangan;12.47
Kota Banjarmasin;13.94
Kota Banjar Baru;14.82
KALIMANTAN TIMUR;13.81
Paser;13.25
Kutai Barat;13.02
Kutai Kartanegara;13.6
Kutai Timur;12.9
Berau;13.33
Penajam Paser Utara;12.57
Mahakam Ulu;12.61
Kota Balikpapan;14.22
Kota Samarinda;15.09
Kota Bontang;13.17
KALIMANTAN UTARA;12.94
Malinau;13.31
Bulungan;13.01
Tana Tidung;12.22
Nunukan;12.65
Kota Tarakan;14.03
SULAWESI UTARA;12.94
Bolaang Mongondow;11.53
Minahasa;14.15
Kepulauan Sangihe;12.47
Kepulauan Talaud;12.59
Minahasa Selatan;12.83
Minahasa Utara;12.92
Bolaang Mongondow Utara;12.17
Siau Tagulandang Biaro;11.86
Minahasa Tenggara;12.43
Bolaang Mongondow Selatan;12.3
Bolaang Mongondow Timur;11.86
Kota Manado;14.16
Kota Bitung;12.62
Kota Tomohon;14.21
Kota Kotamobagu;12.88
SULAWESI TENGAH;13.23
Banggai Kepulauan;13.07
Banggai;13.25
Morowali;13.35
Poso;13.71
Donggala;12.51
Toli-Toli;12.89
Buol;13.1
Parigi Moutong;12.48
Tojo Una-Una;12.29
Sigi;12.88
Banggai Laut;12.96
Morowali Utara;12.25
Kota Palu;16.28
SULAWESI SELATAN;13.52
Kepulauan Selayar;12.66
Bulukumba;13.41
Bantaeng;12.05
Jeneponto;12.1
Takalar;12.42
Gowa;13.65
Sinjai;13.06
Maros;13.16
Pangkajene dan Kepulauan;12.77
Barru;13.59
Bone;12.98
Soppeng;13.05
Wajo;13.15
Sidenreng Rappang;12.95
Pinrang;13.24
Enrekang;13.71
Luwu;13.39
Tana Toraja;13.86
Luwu Utara;12.57
Luwu Timur;12.84
Toraja Utara;13.39
Kota Makasar;15.58
Kota Parepare;14.51
Kota Palopo;15.09
SULAWESI TENGGARA;13.68
Buton;13.76
Muna;13.8
Konawe;13.01
Kolaka;12.83
Konawe Selatan;12.37
Bombana;11.85
Wakatobi;13.51
Kolaka Utara;12.15
Buton Utara;12.92
Konawe Utara;13.08
Kolaka Timur;12.69
Konawe Kepulauan;12.32
Muna Barat;12.51
Buton Tengah;13.12
Buton Selatan;13.24
Kota Kendari;16.89
Kota Baubau;15.17
GORONTALO;13.11
Boalemo;12.45
Gorontalo;13.18
Pohuwato;12.38
Bone Bolango;13.65
Gorontalo Utara;12.46
Kota Gorontalo;14.5
SULAWESI BARAT;12.86
Majene;13.62
Polewali Mandar;13.38
Mamasa;12.36
Mamuju;13.24
Mamuju Utara / Pasangkayu;11.95
Mamuju Tengah;12.53
MALUKU;13.97
Maluku Tenggara Barat / Kepulauan Tanimbar;12.3
Maluku Tenggara;12.82
Maluku Tengah;14.17
Buru;13.04
Kepulauan Aru;12.31
Seram Bagian Barat;13.48
Seram Bagian Timur;12.77
Maluku Barat Daya;12.35
Buru Selatan;12.7
Kota Ambon;16.04
Kota Tual;13.98
MALUKU UTARA;13.68
Halmahera Barat;13.2
Halmahera Tengah;13.11
Kepulauan Sula;12.77
Halmahera Selatan;12.79
Halmahera Utara;13.61
Halmahera Timur;12.76
Pulau Morotai;12.93
Pulau Taliabu;12.65
Kota Ternate;15.75
Kota Tidore Kepulauan;14.32
PAPUA BARAT;13.13
Fakfak;14.63
Kaimana;12.41
Teluk Wondama;11.63
Teluk Bintuni;12.42
Manokwari;13.66
Sorong Selatan;13.17
Sorong;13.72
Raja Ampat;12.06
Tambrauw;12.18
Maybrat;13.47
Manokwari Selatan;12.35
Pegunungan Arfak;11.72
Kota Sorong;14.39
PAPUA BARAT DAYA;-
Raja Ampat;-
Sorong;-
Sorong Selatan;-
Maybrat;-
Tambrauw;-
Kota Sorong;-
PAPUA;11.11
Merauke;14.14
Jayawijaya;12.53
Jayapura;14.39
Nabire;12.18
Kepulauan Yapen;12.74
Biak Numfor;14.2
Paniai;10.5
Puncak Jaya;7.49
Mimika;12.69
Boven Digoel;11.08
Mappi;10.79
Asmat;9.3
Yahukimo;7.62
Pegunungan Bintang;6.47
Tolikara;8.61
Sarmi;12.29
Keerom;12.43
Waropen;12.8
Supiori;13
Mamberamo Raya;11.8
Nduga;3.87
Lanny Jaya;8.89
Mamberamo Tengah;9.22
Yalimo;9.32
Puncak;5.4
Dogiyai;10.59
Intan Jaya;7.66
Deiyai;9.82
Kota Jayapura;15.02
PAPUA SELATAN;-
Merauke;-
Boven Digoel;-
Mappi;-
Asmat;-
PAPUA TENGAH;-
Mimika;-
Dogiyai;-
Deiyai;-
Nabire;-
Paniai;-
Intan Jaya;-
Puncak;-
Puncak Jaya;-
PAPUA PEGUNUNGAN;-
Nduga;-
Jayawijaya;-
Lanny Jaya;-
Tolikara;-
Mamberamo Tengah;-
Yalimo;-
Yahukimo;-
Pegunungan Bintang;-
INDONESIA;13.08
