Provinsi/Kabupaten/Kota,
,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH) (Tahun)
,2019
ACEH,69.87
Simeulue,65.22
Aceh Singkil,67.36
Aceh Selatan,64.27
Aceh Tenggara,68.04
Aceh Timur,68.67
Aceh Tengah,68.82
Aceh Barat,67.93
Aceh Besar,69.77
Pidie,66.89
Bireuen,71.16
Aceh Utara,68.79
Aceh Barat Daya,64.91
Gayo Lues,65.38
Aceh Tamiang,69.52
Nagan Raya,69.14
Aceh Jaya,67.11
Bener Meriah,69.19
Pidie Jaya,70.06
Kota Banda Aceh,71.36
Kota Sabang,70.45
Kota Langsa,69.37
Kota Lhokseumawe,71.52
Kota Subulussalam,63.94
SUMATERA UTARA,68.95
Nias,69.68
Mandailing Natal,62.51
Tapanuli Selatan,64.82
Tapanuli Tengah,67.08
Tapanuli Utara,68.46
Toba Samosir / Toba,69.93
Labuhan Batu,69.86
Asahan,68.11
Simalungun,71.07
Dairi,68.79
Karo,71.27
Deli Serdang,71.61
Langkat,68.59
Nias Selatan,68.58
Humbang Hasundutan,69.06
Pakpak Bharat,65.59
Samosir,71.16
Serdang Bedagai,68.46
Batu Bara,66.75
Padang Lawas Utara,67.06
Padang Lawas,66.98
Labuhan Batu Selatan,68.64
Labuhan Batu Utara,69.37
Nias Utara,69.29
Nias Barat,68.82
Kota Sibolga,68.77
Kota Tanjung Balai,63.02
Kota Pematang Siantar,73.33
Kota Tebing Tinggi,70.76
Kota Medan,72.98
Kota Binjai,72.25
Kota Padangsidimpuan,69.15
Kota Gunungsitoli,71.02
SUMATERA BARAT,69.31
Kepulauan Mentawai,64.68
Pesisir Selatan,70.73
Solok,68.34
Sijunjung,66.02
Tanah Datar,69.73
Padang Pariaman,68.58
Agam,72.17
Lima Puluh Kota,69.7
Pasaman,67.18
Solok Selatan,67.58
Dharmasraya,71.1
Pasaman Barat,67.67
Kota Padang,73.57
Kota Solok,73.45
Kota Sawah Lunto,69.87
Kota Padang Panjang,72.77
Kota Bukittinggi,74.22
Kota Payakumbuh,73.61
Kota Pariaman,70.15
RIAU,71.48
Kuantan Singingi,68.44
Indragiri Hulu,70.2
Indragiri Hilir,67.66
Pelalawan,71.03
Siak,71.03
Kampar,70.64
Rokan Hulu,69.89
Bengkalis,71.11
Rokan Hilir,70.17
Kepulauan Meranti,67.53
Kota Pekanbaru,72.22
Kota Dumai,70.82
JAMBI,71.06
Kerinci,69.82
Merangin,71.18
Sarolangun,69.09
Batang Hari,70.44
Muaro Jambi,71.18
Tanjung Jabung Timur,66.08
Tanjung Jabung Barat,68.03
Tebo,69.91
Bungo,67.61
Kota Jambi,72.57
Kota Sungai Penuh,72.01
SUMATERA SELATAN,69.65
Ogan Komering Ulu,68.01
Ogan Komering Ilir,68.41
Muara Enim,68.63
Lahat,65.76
Musi Rawas,67.86
Musi Banyuasin,68.54
Banyu Asin,68.76
Ogan Komering Ulu Selatan,66.76
Ogan Komering Ulu Timur,68.87
Ogan Ilir,65.21
Empat Lawang,64.81
Penukal Abab Lematang Ilir,68.07
Musi Rawas Utara,65.43
Kota Palembang,70.54
Kota Prabumulih,70.09
Kota Pagar Alam,66.41
Kota Lubuklinggau,69.04
BENGKULU,69.21
Bengkulu Selatan,67.79
Rejang Lebong,68.37
Bengkulu Utara,68.04
Kaur,66.5
Seluma,67.56
Mukomuko,66.51
Lebong,63.12
Kepahiang,67.78
Bengkulu Tengah,68.12
Kota Bengkulu,70.04
LAMPUNG,70.51
Lampung Barat,67.43
Tanggamus,68.4
Lampung Selatan,69.2
Lampung Timur,70.61
Lampung Tengah,69.75
Lampung Utara,69.05
Way Kanan,69.27
Tulangbawang,69.88
Pesawaran,68.88
Pringsewu,69.85
Mesuji,68.04
Tulang Bawang Barat,69.88
Pesisir Barat,63.27
Kota Bandar Lampung,71.28
Kota Metro,71.55
KEP. BANGKA BELITUNG,70.5
Bangka,70.99
Belitung,70.94
Bangka Barat,69.99
Bangka Tengah,71.16
Bangka Selatan,67.9
Belitung Timur,71.9
Kota Pangkal Pinang,73.17
KEPULAUAN RIAU,69.8
Karimun,70.71
Bintan,70.3
Natuna,64.81
Lingga,61.75
Kepulauan Anambas,67.06
Kota Batam,73.29
Kota Tanjung Pinang,72.02
DKI JAKARTA,72.79
Kep. Seribu,68.51
