Provinsi/Kabupaten/Kota,
,[Metode Baru] Harapan Lama Sekolah (Tahun)
,2022
ACEH,14.37
Simeulue,14.08
Aceh Singkil,14.34
Aceh Selatan,14.69
Aceh Tenggara,14.26
Aceh Timur,13.06
Aceh Tengah,14.61
Aceh Barat,14.63
Aceh Besar,14.75
Pidie,14.49
Bireuen,14.86
Aceh Utara,14.73
Aceh Barat Daya,13.66
Gayo Lues,14.08
Aceh Tamiang,13.96
Nagan Raya,14.16
Aceh Jaya,14.01
Bener Meriah,13.71
Pidie Jaya,14.98
Kota Banda Aceh,17.81
Kota Sabang,14.4
Kota Langsa,15.64
Kota Lhokseumawe,15.27
Kota Subulussalam,14.81
SUMATERA UTARA,13.31
Nias,13.04
Mandailing Natal,13.85
Tapanuli Selatan,13.37
Tapanuli Tengah,13.24
Tapanuli Utara,13.72
Toba Samosir / Toba,13.58
Labuhan Batu,12.95
Asahan,12.63
Simalungun,12.81
Dairi,13.24
Karo,12.95
Deli Serdang,13.38
Langkat,13.26
Nias Selatan,12.48
Humbang Hasundutan,13.31
Pakpak Bharat,13.89
Samosir,13.5
Serdang Bedagai,12.63
Batu Bara,12.93
Padang Lawas Utara,13.23
Padang Lawas,13.41
Labuhan Batu Selatan,13.12
Labuhan Batu Utara,13.29
Nias Utara,13.06
Nias Barat,12.97
Kota Sibolga,13.3
Kota Tanjung Balai,12.9
Kota Pematang Siantar,14.59
Kota Tebing Tinggi,12.91
Kota Medan,14.77
Kota Binjai,13.87
Kota Padangsidimpuan,14.58
Kota Gunungsitoli,13.77
SUMATERA BARAT,14.1
Kepulauan Mentawai,12.89
Pesisir Selatan,13.35
Solok,13.3
Sijunjung,12.64
Tanah Datar,14.59
Padang Pariaman,13.93
Agam,13.88
Lima Puluh Kota,13.4
Pasaman,13.05
Solok Selatan,12.73
Dharmasraya,12.51
Pasaman Barat,13.69
Kota Padang,16.54
Kota Solok,14.34
Kota Sawah Lunto,13.42
Kota Padang Panjang,15.07
Kota Bukittinggi,14.99
Kota Payakumbuh,14.29
Kota Pariaman,14.61
RIAU,13.29
Kuantan Singingi,13.36
Indragiri Hulu,12.58
Indragiri Hilir,12.19
Pelalawan,12.68
Siak,12.85
Kampar,13.59
Rokan Hulu,12.86
Bengkalis,13.16
Rokan Hilir,12.83
Kepulauan Meranti,12.84
Kota Pekanbaru,15.56
Kota Dumai,13.32
JAMBI,13.05
Kerinci,13.89
Merangin,12.05
Sarolangun,12.47
Batang Hari,12.94
Muaro Jambi,12.99
Tanjung Jabung Timur,12.18
Tanjung Jabung Barat,12.64
Tebo,12.65
Bungo,12.64
Kota Jambi,15.38
Kota Sungai Penuh,14.81
SUMATERA SELATAN,12.55
Ogan Komering Ulu,12.84
Ogan Komering Ilir,11.89
Muara Enim,11.99
Lahat,12.43
Musi Rawas,12.21
Musi Banyuasin,12.3
Banyu Asin,11.95
Ogan Komering Ulu Selatan,11.78
Ogan Komering Ulu Timur,12.46
Ogan Ilir,12.32
Empat Lawang,12.08
Penukal Abab Lematang Ilir,12.3
Musi Rawas Utara,11.61
Kota Palembang,14.43
Kota Prabumulih,13.03
Kota Pagar Alam,13.24
Kota Lubuklinggau,13.39
BENGKULU,13.68
Bengkulu Selatan,13.63
Rejang Lebong,14.01
Bengkulu Utara,12.89
Kaur,13.07
Seluma,13.3
Mukomuko,12.76
Lebong,12.75
Kepahiang,13.13
Bengkulu Tengah,13.45
Kota Bengkulu,16.04
LAMPUNG,12.74
Lampung Barat,12.27
Tanggamus,12.3
Lampung Selatan,12.54
Lampung Timur,12.96
Lampung Tengah,12.95
Lampung Utara,12.54
Way Kanan,12.42
Tulangbawang,12.28
Pesawaran,12.61
Pringsewu,12.91
Mesuji,11.8
Tulang Bawang Barat,12.09
Pesisir Barat,12.13
Kota Bandar Lampung,14.71
Kota Metro,14.76
KEP. BANGKA BELITUNG,12.18
Bangka,12.8
Belitung,11.89
Bangka Barat,11.72
Bangka Tengah,12.11
Bangka Selatan,11.43
Belitung Timur,11.65
Kota Pangkal Pinang,13.17
KEPULAUAN RIAU,12.99
Karimun,12.59
Bintan,13.27
Natuna,13.92
Lingga,12.61
Kepulauan Anambas,12.89
Kota Batam,13.32
Kota Tanjung Pinang,14.14
DKI JAKARTA,13.08
Kep. Seribu,12.65
Kota Jakarta Selatan,13.35
Kota Jakarta Timur,13.97
Kota Jakarta Pusat,13.28
Kota Jakarta Barat,12.82
Kota Jakarta Utara,12.66
JAWA BARAT,12.62
Bogor,12.5
Sukabumi,12.25
Cianjur,12.01
Bandung,12.71
Garut,12.15
Tasikmalaya,12.59
Ciamis,14.28
Kuningan,12.24
Cirebon,12.28
Majalengka,12.24
Sumedang,12.99
Indramayu,12.27
Subang,11.78
Purwakarta,12.13
Karawang,12.19
Bekasi,13.11
Bandung Barat,11.89
Pangandaran,12.11
Kota Bogor,13.43
Kota Sukabumi,13.59
Kota Bandung,14.23
Kota Cirebon,13.14
Kota Bekasi,14.11
Kota Depok,13.94
Kota Cimahi,13.82
Kota Tasikmalaya,13.47
Kota Banjar,13.25
JAWA TENGAH,12.81
Cilacap,12.66
Banyumas,13.21
Purbalingga,12.01
Banjarnegara,11.81
Kebumen,13.36
Purworejo,13.52
Wonosobo,11.78
Magelang,12.58
Boyolali,12.62
Klaten,13.4
Sukoharjo,13.9
Wonogiri,12.51
Karanganyar,13.7
Sragen,12.91
Grobogan,12.45
Blora,12.44
Rembang,12.13
Pati,12.95
Kudus,13.25
Jepara,12.77
Demak,13.33
Semarang,13.04
Temanggung,12.55
Kendal,12.97
Batang,12.14
Pekalongan,12.43
Pemalang,11.98
Tegal,12.91
Brebes,12.15
Kota Magelang,14.31
Kota Surakarta,14.89
Kota Salatiga,15.43
Kota Semarang,15.54
Kota Pekalongan,12.86
Kota Tegal,13.08
D I YOGYAKARTA,15.65
Kulon Progo,14.38
Bantul,15.48
Gunung Kidul,13.33
Sleman,16.76
Kota Yogyakarta,17.61
JAWA TIMUR,13.37
Pacitan,12.66
Ponorogo,13.76
Trenggalek,12.5
Tulungagung,13.33
Blitar,12.64
Kediri,13.61
Malang,13.38
Lumajang,12.02
Jember,13.44
Banyuwangi,13.11
Bondowoso,13.31
Situbondo,13.18
Probolinggo,12.58
Pasuruan,12.76
Sidoarjo,14.95
Mojokerto,12.96
Jombang,13.58
Nganjuk,13.07
Madiun,13.18
Magetan,14.05
Ngawi,12.84
Bojonegoro,12.84
Tuban,12.24
Lamongan,14.01
Gresik,13.96
Bangkalan,11.91
Sampang,12.39
Pamekasan,13.67
Sumenep,13.51
Kota Kediri,15.44
Kota Blitar,14.56
Kota Malang,15.76
Kota Probolinggo,13.67
Kota Pasuruan,13.64
Kota Mojokerto,14.02
Kota Madiun,14.43
Kota Surabaya,14.83
Kota Batu,14.4
BANTEN,13.05
Pandeglang,13.72
Lebak,12.09
Tangerang,12.85
Serang,12.78
Kota Tangerang,13.88
Kota Cilegon,13.2
Kota Serang,12.81
Kota Tangerang Selatan,14.67
BALI,13.48
Jembrana,13.01
Tabanan,13.03
Badung,14.03
Gianyar,14.01
Klungkung,13.02
Bangli,12.49
Karangasem,12.62
Buleleng,13.26
Kota Denpasar,14.1
NUSA TENGGARA BARAT,13.96
Lombok Barat,13.96
Lombok Tengah,13.86
Lombok Timur,14.05
Sumbawa,13.23
Dompu,13.69
Bima,13.58
Sumbawa Barat,13.65
Lombok Utara,12.77
Kota Mataram,15.65
Kota Bima,15.05
NUSA TENGGARA TIMUR,13.21
Sumba Barat,13.15
Sumba Timur,12.85
Kupang,13.88
Timor Tengah Selatan,12.6
Timor Tengah Utara,13.34
Belu,12.3
Alor,12.27
Lembata,12.45
Flores Timur,12.94
Sikka,13.44
Ende,13.81
Ngada,12.73
Manggarai,13.7
Rote Ndao,13.21
Manggarai Barat,12.31
Sumba Tengah,13.12
Sumba Barat Daya,13.09
Nagekeo,12.51
Manggarai Timur,12.3
Sabu Raijua,13.17
Malaka,12.81
Kota Kupang,16.43
KALIMANTAN BARAT,12.66
Sambas,12.7
Bengkayang,12.14
Landak,12.44
Mempawah,12.87
Sanggau,11.65
Ketapang,11.95
Sintang,12.29
Kapuas Hulu,12.14
Sekadau,11.9
Melawi,11.18
Kayong Utara,11.95
Kubu Raya,13.88
Kota Pontianak,15.02
Kota Singkawang,12.92
KALIMANTAN TENGAH,12.75
Kotawaringin Barat,12.75
Kotawaringin Timur,12.86
Kapuas,12.94
Barito Selatan,12.67
Barito Utara,12.53
Sukamara,12.15
Lamandau,12.51
Seruyan,12.02
Katingan,12.97
Pulang Pisau,12.5
Gunung Mas,11.91
Barito Timur,12.86
Murung Raya,11.87
Kota Palangka Raya,14.97
KALIMANTAN SELATAN,12.82
