Provinsi/Kabupaten/Kota,
,[Metode Baru] Harapan Lama Sekolah (Tahun)
,2023
ACEH,14.38
Simeulue,14.28
Aceh Singkil,14.35
Aceh Selatan,14.7
Aceh Tenggara,14.27
Aceh Timur,13.07
Aceh Tengah,14.85
Aceh Barat,14.64
Aceh Besar,14.76
Pidie,14.5
Bireuen,14.87
Aceh Utara,14.74
Aceh Barat Daya,13.67
Gayo Lues,14.34
Aceh Tamiang,14.23
Nagan Raya,14.17
Aceh Jaya,14.02
Bener Meriah,13.72
Pidie Jaya,14.99
Kota Banda Aceh,17.93
Kota Sabang,14.68
Kota Langsa,15.7
Kota Lhokseumawe,15.54
Kota Subulussalam,15.06
SUMATERA UTARA,13.48
Nias,13.3
Mandailing Natal,13.86
Tapanuli Selatan,13.58
Tapanuli Tengah,13.49
Tapanuli Utara,13.73
Toba Samosir / Toba,13.59
Labuhan Batu,13.25
Asahan,12.64
Simalungun,12.82
Dairi,13.32
Karo,13.25
Deli Serdang,13.39
Langkat,13.27
Nias Selatan,12.78
Humbang Hasundutan,13.32
Pakpak Bharat,13.9
Samosir,13.51
Serdang Bedagai,12.64
Batu Bara,13.11
Padang Lawas Utara,13.53
Padang Lawas,13.7
Labuhan Batu Selatan,13.42
Labuhan Batu Utara,13.57
Nias Utara,13.36
Nias Barat,12.98
Kota Sibolga,13.42
Kota Tanjung Balai,13.14
Kota Pematang Siantar,14.6
Kota Tebing Tinggi,13.12
Kota Medan,14.78
Kota Binjai,14.17
Kota Padangsidimpuan,14.59
Kota Gunungsitoli,13.78
SUMATERA BARAT,14.11
Kepulauan Mentawai,12.9
Pesisir Selatan,13.36
Solok,13.55
Sijunjung,12.72
Tanah Datar,14.78
Padang Pariaman,14.19
Agam,13.89
Lima Puluh Kota,13.41
Pasaman,13.25
Solok Selatan,12.8
Dharmasraya,12.68
Pasaman Barat,13.7
Kota Padang,16.56
Kota Solok,14.36
Kota Sawah Lunto,13.69
Kota Padang Panjang,15.29
Kota Bukittinggi,15.01
Kota Payakumbuh,14.3
Kota Pariaman,14.79
RIAU,13.3
Kuantan Singingi,13.37
Indragiri Hulu,12.59
Indragiri Hilir,12.2
Pelalawan,12.9
Siak,12.86
Kampar,13.6
Rokan Hulu,12.88
Bengkalis,13.34
Rokan Hilir,12.88
Kepulauan Meranti,12.86
Kota Pekanbaru,15.58
Kota Dumai,13.33
JAMBI,13.13
Kerinci,13.91
Merangin,12.25
Sarolangun,12.48
Batang Hari,12.96
Muaro Jambi,13.15
Tanjung Jabung Timur,12.2
Tanjung Jabung Barat,12.67
Tebo,12.92
Bungo,12.66
Kota Jambi,15.54
Kota Sungai Penuh,14.83
SUMATERA SELATAN,12.63
Ogan Komering Ulu,12.99
Ogan Komering Ilir,11.97
Muara Enim,12.01
Lahat,12.44
Musi Rawas,12.22
Musi Banyuasin,12.31
Banyu Asin,12.09
Ogan Komering Ulu Selatan,11.79
Ogan Komering Ulu Timur,12.47
Ogan Ilir,12.41
Empat Lawang,12.1
Penukal Abab Lematang Ilir,12.49
Musi Rawas Utara,11.7
Kota Palembang,14.45
Kota Prabumulih,13.31
Kota Pagar Alam,13.49
Kota Lubuklinggau,13.55
BENGKULU,13.74
Bengkulu Selatan,13.65
Rejang Lebong,14.19
Bengkulu Utara,12.91
Kaur,13.14
Seluma,13.32
Mukomuko,12.86
Lebong,12.9
Kepahiang,13.14
Bengkulu Tengah,13.46
Kota Bengkulu,16.06
LAMPUNG,12.77
Lampung Barat,12.29
Tanggamus,12.31
Lampung Selatan,12.64
Lampung Timur,12.97
Lampung Tengah,13.04
Lampung Utara,12.55
Way Kanan,12.43
Tulangbawang,12.29
Pesawaran,12.62
Pringsewu,12.92
Mesuji,11.81
Tulang Bawang Barat,12.1
Pesisir Barat,12.14
Kota Bandar Lampung,14.72
Kota Metro,14.77
KEP. BANGKA BELITUNG,12.31
Bangka,13.11
Belitung,11.9
Bangka Barat,11.73
Bangka Tengah,12.12
Bangka Selatan,11.59
Belitung Timur,11.66
Kota Pangkal Pinang,13.19
KEPULAUAN RIAU,13.05
Karimun,12.61
Bintan,13.44
Natuna,13.93
Lingga,12.63
Kepulauan Anambas,13.05
Kota Batam,13.34
Kota Tanjung Pinang,14.15
DKI JAKARTA,13.33
Kep. Seribu,12.66
Kota Jakarta Selatan,13.66
Kota Jakarta Timur,14.06
Kota Jakarta Pusat,13.29
Kota Jakarta Barat,12.87
Kota Jakarta Utara,12.67
JAWA BARAT,12.68
Bogor,12.64
Sukabumi,12.38
Cianjur,12.03
Bandung,12.73
Garut,12.16
Tasikmalaya,12.63
Ciamis,14.29
Kuningan,12.26
Cirebon,12.41
Majalengka,12.26
Sumedang,13.01
Indramayu,12.29
Subang,11.91
Purwakarta,12.18
Karawang,12.2
Bekasi,13.17
Bandung Barat,11.91
Pangandaran,12.3
Kota Bogor,13.45
Kota Sukabumi,13.6
Kota Bandung,14.24
Kota Cirebon,13.16
Kota Bekasi,14.12
Kota Depok,13.96
Kota Cimahi,13.84
Kota Tasikmalaya,13.49
Kota Banjar,13.27
JAWA TENGAH,12.85
Cilacap,12.67
Banyumas,13.26
Purbalingga,12.02
Banjarnegara,11.82
Kebumen,13.37
Purworejo,13.53
Wonosobo,11.8
Magelang,12.61
Boyolali,12.66
Klaten,13.41
Sukoharjo,13.91
Wonogiri,12.52
Karanganyar,13.71
Sragen,12.92
Grobogan,12.46
Blora,12.51
Rembang,12.15
Pati,12.96
Kudus,13.26
Jepara,12.85
Demak,13.34
Semarang,13.05
Temanggung,12.61
Kendal,12.99
Batang,12.15
Pekalongan,12.44
Pemalang,12.01
Tegal,12.92
Brebes,12.44
Kota Magelang,14.4
Kota Surakarta,14.9
Kota Salatiga,15.44
Kota Semarang,15.55
Kota Pekalongan,12.87
Kota Tegal,13.18
D I YOGYAKARTA,15.66
Kulon Progo,14.48
Bantul,15.61
Gunung Kidul,13.39
Sleman,16.77
Kota Yogyakarta,17.62
JAWA TIMUR,13.38
Pacitan,12.68
Ponorogo,13.77
Trenggalek,12.62
Tulungagung,13.34
Blitar,12.65
Kediri,13.62
Malang,13.48
Lumajang,12.16
Jember,13.49
Banyuwangi,13.12
Bondowoso,13.32
Situbondo,13.19
Probolinggo,12.63
Pasuruan,12.77
Sidoarjo,14.97
Mojokerto,12.97
Jombang,13.59
Nganjuk,13.17
Madiun,13.23
Magetan,14.07
Ngawi,12.85
Bojonegoro,12.92
Tuban,12.27
Lamongan,14.02
Gresik,13.97
Bangkalan,11.97
Sampang,12.54
Pamekasan,13.68
Sumenep,13.58
Kota Kediri,15.45
Kota Blitar,14.57
Kota Malang,15.77
Kota Probolinggo,13.73
Kota Pasuruan,13.66
Kota Mojokerto,14.04
Kota Madiun,14.44
Kota Surabaya,14.85
Kota Batu,14.56
BANTEN,13.09
Pandeglang,13.73
Lebak,12.1
Tangerang,12.87
Serang,12.86
Kota Tangerang,13.89
Kota Cilegon,13.21
Kota Serang,12.82
Kota Tangerang Selatan,14.68
BALI,13.58
Jembrana,13.02
Tabanan,13.04
Badung,14.22
Gianyar,14.09
Klungkung,13.12
Bangli,12.52
Karangasem,12.63
Buleleng,13.27
Kota Denpasar,14.11
NUSA TENGGARA BARAT,13.97
Lombok Barat,13.98
Lombok Tengah,13.87
Lombok Timur,14.06
Sumbawa,13.24
Dompu,13.83
Bima,13.65
Sumbawa Barat,13.66
Lombok Utara,13.01
Kota Mataram,15.67
Kota Bima,15.06
NUSA TENGGARA TIMUR,13.22
Sumba Barat,13.26
Sumba Timur,12.86
Kupang,13.89
Timor Tengah Selatan,12.61
Timor Tengah Utara,13.35
Belu,12.31
Alor,12.28
Lembata,12.46
Flores Timur,12.95
Sikka,13.66
Ende,13.82
Ngada,12.74
Manggarai,13.71
Rote Ndao,13.22
Manggarai Barat,12.53
Sumba Tengah,13.13
Sumba Barat Daya,13.1
Nagekeo,12.59
Manggarai Timur,12.59
Sabu Raijua,13.18
Malaka,12.82
Kota Kupang,16.44
KALIMANTAN BARAT,12.67
Sambas,12.72
Bengkayang,12.16
Landak,12.53
Mempawah,12.88
Sanggau,11.87
Ketapang,11.96
Sintang,12.3
Kapuas Hulu,12.2
Sekadau,11.92
Melawi,11.34
Kayong Utara,12.12
Kubu Raya,13.89
Kota Pontianak,15.04
Kota Singkawang,12.94
KALIMANTAN TENGAH,12.76
Kotawaringin Barat,12.77
Kotawaringin Timur,12.88
Kapuas,12.96
Barito Selatan,12.8
Barito Utara,12.54
Sukamara,12.16
Lamandau,12.52
Seruyan,12.03
Katingan,12.98
Pulang Pisau,12.51
Gunung Mas,12.05
Barito Timur,12.87
Murung Raya,12.04
Kota Palangka Raya,14.99
KALIMANTAN SELATAN,12.86
