Wilayah,UHH_2024
ACEH,70.44
SUMATERA UTARA,70.28
SUMATERA BARAT,70.33
RIAU,72.52
JAMBI,72.04
SUMATERA SELATAN,70.93
BENGKULU,70.13
LAMPUNG,71.5
KEP. BANGKA BELITUNG,71.49
KEPULAUAN RIAU,71.24
DKI JAKARTA,73.87
JAWA BARAT,74.07
JAWA TENGAH,74.93
D I YOGYAKARTA,75.22
JAWA TIMUR,72.35
BANTEN,71.02
BALI,73.29
NUSA TENGGARA BARAT,67.73
NUSA TENGGARA TIMUR,67.99
KALIMANTAN BARAT,71.55
KALIMANTAN TENGAH,70.43
KALIMANTAN SELATAN,69.65
KALIMANTAN TIMUR,75.03
KALIMANTAN UTARA,72.73
SULAWESI UTARA,72.69
SULAWESI TENGAH,69.42
SULAWESI SELATAN,71.43
SULAWESI TENGGARA,71.6
GORONTALO,69.09
SULAWESI BARAT,66.27
MALUKU,66.99
MALUKU UTARA,69.35
PAPUA BARAT,67.05
PAPUA,68.79
