Wilayah,PengeluaranPerKapita_2022
ACEH,9963000
SUMATERA UTARA,10848000
SUMATERA BARAT,11130000
RIAU,11158000
JAMBI,10871000
SUMATERA SELATAN,11109000
BENGKULU,10840000
LAMPUNG,10336000
KEPULAUAN BANGKA BELITUNG,13358000
KEPULAUAN RIAU,14469000
DKI JAKARTA,18927000
JAWA BARAT,11277000
JAWA TENGAH,11377000
DI YOGYAKARTA,14482000
JAWA TIMUR,11992000
BANTEN,12216000
BALI,13942000
NUSA TENGGARA BARAT,10681000
NUSA TENGGARA TIMUR,7877000
KALIMANTAN BARAT,9355000
KALIMANTAN TENGAH,11458000
KALIMANTAN SELATAN,12469000
KALIMANTAN TIMUR,12641000
KALIMANTAN UTARA,9350000
SULAWESI UTARA,11179000
SULAWESI TENGAH,9696000
SULAWESI SELATAN,11430000
SULAWESI TENGGARA,9708000
GORONTALO,10687000
SULAWESI BARAT,9358000
MALUKU,8876000
MALUKU UTARA,8398000
PAPUA BARAT,8101000
PAPUA,7146000
