Wilayah,HLS_2022
ACEH,14.37
SUMATERA UTARA,13.31
SUMATERA BARAT,14.1
RIAU,13.29
JAMBI,13.05
SUMATERA SELATAN,12.55
BENGKULU,13.68
LAMPUNG,12.74
KEPULAUAN BANGKA BELITUNG,12.18
KEPULAUAN RIAU,12.99
DKI JAKARTA,13.08
JAWA BARAT,12.62
JAWA TENGAH,12.81
DI YOGYAKARTA,15.65
JAWA TIMUR,13.37
BANTEN,13.05
BALI,13.48
NUSA TENGGARA BARAT,13.96
NUSA TENGGARA TIMUR,13.21
KALIMANTAN BARAT,12.66
KALIMANTAN TENGAH,12.75
KALIMANTAN SELATAN,12.82
KALIMANTAN TIMUR,13.84
KALIMANTAN UTARA,13.06
SULAWESI UTARA,12.95
SULAWESI TENGAH,13.32
SULAWESI SELATAN,13.53
SULAWESI TENGGARA,13.69
GORONTALO,13.12
SULAWESI BARAT,12.87
MALUKU,14
MALUKU UTARA,13.73
PAPUA BARAT,13.21
PAPUA,11.14
