Wilayah,RLS_2019
ACEH,9.18
SUMATERA UTARA,9.45
SUMATERA BARAT,8.92
RIAU,9.03
JAMBI,8.45
SUMATERA SELATAN,8.18
BENGKULU,8.73
LAMPUNG,7.92
KEPULAUAN BANGKA BELITUNG,7.98
KEPULAUAN RIAU,9.99
DKI JAKARTA,11.06
JAWA BARAT,8.37
JAWA TENGAH,7.53
DI YOGYAKARTA,9.38
JAWA TIMUR,7.59
BANTEN,8.74
BALI,8.84
NUSA TENGGARA BARAT,7.27
NUSA TENGGARA TIMUR,7.55
KALIMANTAN BARAT,7.31
KALIMANTAN TENGAH,8.51
KALIMANTAN SELATAN,8.2
KALIMANTAN TIMUR,9.7
KALIMANTAN UTARA,8.94
SULAWESI UTARA,9.43
SULAWESI TENGAH,8.75
SULAWESI SELATAN,8.26
SULAWESI TENGGARA,8.91
GORONTALO,7.69
SULAWESI BARAT,7.73
MALUKU,9.81
MALUKU UTARA,9
PAPUA BARAT,7.44
PAPUA,6.65
