Wilayah,UHH_2023
ACEH,70.34
SUMATERA UTARA,69.98
SUMATERA BARAT,70.19
RIAU,72.24
JAMBI,71.77
SUMATERA SELATAN,70.66
BENGKULU,69.92
LAMPUNG,71.25
KEP. BANGKA BELITUNG,71.23
KEPULAUAN RIAU,70.91
DKI JAKARTA,73.65
JAWA BARAT,73.8
JAWA TENGAH,74.69
D I YOGYAKARTA,75.12
JAWA TIMUR,72.11
BANTEN,70.77
BALI,72.98
NUSA TENGGARA BARAT,67.47
NUSA TENGGARA TIMUR,67.77
KALIMANTAN BARAT,71.32
KALIMANTAN TENGAH,70.27
KALIMANTAN SELATAN,69.42
KALIMANTAN TIMUR,74.72
KALIMANTAN UTARA,72.69
SULAWESI UTARA,72.4
SULAWESI TENGAH,69.17
SULAWESI SELATAN,71.22
SULAWESI TENGGARA,71.47
GORONTALO,68.83
SULAWESI BARAT,66.01
MALUKU,66.78
MALUKU UTARA,69.11
PAPUA BARAT,66.79
PAPUA,66.44
