Wilayah,Laju_Pertumbuhan_2022
ACEH,4.21
SUMATERA UTARA,4.73
SUMATERA BARAT,4.36
RIAU,4.55
JAMBI,5.12
SUMATERA SELATAN,5.24
BENGKULU,4.31
LAMPUNG,4.28
KEPULAUAN BANGKA BELITUNG,4.4
KEPULAUAN RIAU,5.06
DKI JAKARTA,5.25
JAWA BARAT,5.45
JAWA TENGAH,5.31
DI YOGYAKARTA,5.15
JAWA TIMUR,5.34
BANTEN,5.03
BALI,4.84
NUSA TENGGARA BARAT,6.95
NUSA TENGGARA TIMUR,3.08
KALIMANTAN BARAT,5.07
KALIMANTAN TENGAH,6.45
KALIMANTAN SELATAN,5.11
KALIMANTAN TIMUR,4.48
KALIMANTAN UTARA,5.32
SULAWESI UTARA,5.42
SULAWESI TENGAH,15.22
SULAWESI SELATAN,5.1
SULAWESI TENGGARA,5.53
GORONTALO,4.03
SULAWESI BARAT,2.26
MALUKU,5.31
MALUKU UTARA,22.94
PAPUA BARAT,2.03
PAPUA,8.97
