Wilayah,PengeluaranPerKapita_2023
ACEH,10334000
SUMATERA UTARA,11049000
SUMATERA BARAT,11380000
RIAU,11448000
JAMBI,11160000
SUMATERA SELATAN,11472000
BENGKULU,11172000
LAMPUNG,10769000
KEPULAUAN BANGKA BELITUNG,13589000
KEPULAUAN RIAU,14998000
DKI JAKARTA,19373000
JAWA BARAT,11695000
JAWA TENGAH,11835000
DI YOGYAKARTA,14924000
JAWA TIMUR,12421000
BANTEN,12601000
BALI,14382000
NUSA TENGGARA BARAT,11095000
NUSA TENGGARA TIMUR,8248000
KALIMANTAN BARAT,9810000
KALIMANTAN TENGAH,11878000
KALIMANTAN SELATAN,12953000
KALIMANTAN TIMUR,13202000
KALIMANTAN UTARA,9734000
SULAWESI UTARA,11497000
SULAWESI TENGAH,10149000
SULAWESI SELATAN,11841000
SULAWESI TENGGARA,10117000
GORONTALO,11069000
SULAWESI BARAT,9718000
MALUKU,9278000
MALUKU UTARA,8834000
PAPUA BARAT,8404000
PAPUA,7562000
