Wilayah,HLS_2024
ACEH,14.39
SUMATERA UTARA,13.49
SUMATERA BARAT,14.3
RIAU,13.42
JAMBI,13.14
SUMATERA SELATAN,12.64
BENGKULU,13.75
LAMPUNG,12.78
KEPULAUAN BANGKA BELITUNG,12.49
KEPULAUAN RIAU,13.27
DKI JAKARTA,13.51
JAWA BARAT,12.8
JAWA TENGAH,12.86
DI YOGYAKARTA,15.7
JAWA TIMUR,13.43
BANTEN,13.1
BALI,13.62
NUSA TENGGARA BARAT,13.98
NUSA TENGGARA TIMUR,13.23
KALIMANTAN BARAT,12.68
KALIMANTAN TENGAH,12.77
KALIMANTAN SELATAN,12.87
KALIMANTAN TIMUR,14.03
KALIMANTAN UTARA,13.21
SULAWESI UTARA,12.97
SULAWESI TENGAH,13.34
SULAWESI SELATAN,13.55
SULAWESI TENGGARA,13.71
GORONTALO,13.17
SULAWESI BARAT,12.89
MALUKU,14.09
MALUKU UTARA,13.75
PAPUA BARAT,13.17
PAPUA,13.72
