Wilayah,UHH_2021
ACEH,69.96
SUMATERA UTARA,69.23
SUMATERA BARAT,69.59
RIAU,71.67
JAMBI,71.22
SUMATERA SELATAN,69.98
BENGKULU,69.42
LAMPUNG,70.73
KEP. BANGKA BELITUNG,70.73
KEPULAUAN RIAU,70.12
DKI JAKARTA,73.01
JAWA BARAT,73.23
JAWA TENGAH,74.47
D I YOGYAKARTA,75.04
JAWA TIMUR,71.38
BANTEN,70.02
BALI,72.24
NUSA TENGGARA BARAT,66.69
NUSA TENGGARA TIMUR,67.15
KALIMANTAN BARAT,70.76
KALIMANTAN TENGAH,69.79
KALIMANTAN SELATAN,68.83
KALIMANTAN TIMUR,74.61
KALIMANTAN UTARA,72.65
SULAWESI UTARA,71.76
SULAWESI TENGAH,68.83
SULAWESI SELATAN,70.66
SULAWESI TENGGARA,71.27
GORONTALO,68.19
SULAWESI BARAT,65.25
MALUKU,66.09
MALUKU UTARA,68.45
PAPUA BARAT,66.14
PAPUA,65.93
