Wilayah,RLS_2023
ACEH,9.55
SUMATERA UTARA,9.82
SUMATERA BARAT,9.28
RIAU,9.32
JAMBI,8.81
SUMATERA SELATAN,8.5
BENGKULU,9.03
LAMPUNG,8.29
KEPULAUAN BANGKA BELITUNG,8.25
KEPULAUAN RIAU,10.41
DKI JAKARTA,11.45
JAWA BARAT,8.83
JAWA TENGAH,8.01
DI YOGYAKARTA,9.83
JAWA TIMUR,8.11
BANTEN,9.15
BALI,9.45
NUSA TENGGARA BARAT,7.74
NUSA TENGGARA TIMUR,7.82
KALIMANTAN BARAT,7.71
KALIMANTAN TENGAH,8.73
KALIMANTAN SELATAN,8.55
KALIMANTAN TIMUR,9.99
KALIMANTAN UTARA,9.34
SULAWESI UTARA,9.77
SULAWESI TENGAH,8.96
SULAWESI SELATAN,8.76
SULAWESI TENGGARA,9.31
GORONTALO,8.1
SULAWESI BARAT,8.13
MALUKU,10.2
MALUKU UTARA,9.26
PAPUA BARAT,7.93
PAPUA,7.15
