Wilayah,HLS_2023
ACEH,14.38
SUMATERA UTARA,13.48
SUMATERA BARAT,14.11
RIAU,13.3
JAMBI,13.13
SUMATERA SELATAN,12.63
BENGKULU,13.74
LAMPUNG,12.77
KEPULAUAN BANGKA BELITUNG,12.31
KEPULAUAN RIAU,13.05
DKI JAKARTA,13.33
JAWA BARAT,12.68
JAWA TENGAH,12.85
DI YOGYAKARTA,15.66
JAWA TIMUR,13.38
BANTEN,13.09
BALI,13.58
NUSA TENGGARA BARAT,13.97
NUSA TENGGARA TIMUR,13.22
KALIMANTAN BARAT,12.67
KALIMANTAN TENGAH,12.76
KALIMANTAN SELATAN,12.86
KALIMANTAN TIMUR,14.02
KALIMANTAN UTARA,13.2
SULAWESI UTARA,12.96
SULAWESI TENGAH,13.33
SULAWESI SELATAN,13.54
SULAWESI TENGGARA,13.7
GORONTALO,13.16
SULAWESI BARAT,12.88
MALUKU,14.08
MALUKU UTARA,13.74
PAPUA BARAT,13.34
PAPUA,11.15
