Wilayah,Laju_Pertumbuhan_2021
ACEH,2.81
SUMATERA UTARA,2.61
SUMATERA BARAT,3.29
RIAU,3.36
JAMBI,3.7
SUMATERA SELATAN,3.58
BENGKULU,3.27
LAMPUNG,2.77
KEPULAUAN BANGKA BELITUNG,5.05
KEPULAUAN RIAU,3.43
DKI JAKARTA,3.55
JAWA BARAT,3.74
JAWA TENGAH,3.33
DI YOGYAKARTA,5.58
JAWA TIMUR,3.56
BANTEN,4.49
BALI,-2.46
NUSA TENGGARA BARAT,2.3
NUSA TENGGARA TIMUR,2.52
KALIMANTAN BARAT,4.8
KALIMANTAN TENGAH,3.59
KALIMANTAN SELATAN,3.48
KALIMANTAN TIMUR,2.55
KALIMANTAN UTARA,3.99
SULAWESI UTARA,4.16
SULAWESI TENGAH,11.68
SULAWESI SELATAN,4.64
SULAWESI TENGGARA,4.1
GORONTALO,2.4
SULAWESI BARAT,2.57
MALUKU,3.63
MALUKU UTARA,16.79
PAPUA BARAT,-0.51
PAPUA,15.16
