Wilayah,HLS_2020
ACEH,14.31
SUMATERA UTARA,13.23
SUMATERA BARAT,14.02
RIAU,13.2
JAMBI,12.98
SUMATERA SELATAN,12.45
BENGKULU,13.61
LAMPUNG,12.65
KEPULAUAN BANGKA BELITUNG,12.05
KEPULAUAN RIAU,12.87
DKI JAKARTA,12.98
JAWA BARAT,12.5
JAWA TENGAH,12.7
DI YOGYAKARTA,15.59
JAWA TIMUR,13.19
BANTEN,12.89
BALI,13.33
NUSA TENGGARA BARAT,13.7
NUSA TENGGARA TIMUR,13.18
KALIMANTAN BARAT,12.6
KALIMANTAN TENGAH,12.66
KALIMANTAN SELATAN,12.68
KALIMANTAN TIMUR,13.72
KALIMANTAN UTARA,12.93
SULAWESI UTARA,12.85
SULAWESI TENGAH,13.17
SULAWESI SELATAN,13.45
SULAWESI TENGGARA,13.65
GORONTALO,13.08
SULAWESI BARAT,12.77
MALUKU,13.96
MALUKU UTARA,13.67
PAPUA BARAT,12.91
PAPUA,11.08
