Wilayah,RLS_2024
ACEH,9.64
SUMATERA UTARA,9.93
SUMATERA BARAT,9.44
RIAU,9.43
JAMBI,8.9
SUMATERA SELATAN,8.57
BENGKULU,9.04
LAMPUNG,8.36
KEPULAUAN BANGKA BELITUNG,8.33
KEPULAUAN RIAU,10.5
DKI JAKARTA,11.49
JAWA BARAT,8.87
JAWA TENGAH,8.02
DI YOGYAKARTA,9.92
JAWA TIMUR,8.28
BANTEN,9.23
BALI,9.54
NUSA TENGGARA BARAT,7.87
NUSA TENGGARA TIMUR,8.02
KALIMANTAN BARAT,7.78
KALIMANTAN TENGAH,8.81
KALIMANTAN SELATAN,8.62
KALIMANTAN TIMUR,10.02
KALIMANTAN UTARA,9.35
SULAWESI UTARA,9.84
SULAWESI TENGAH,9.04
SULAWESI SELATAN,8.86
SULAWESI TENGGARA,9.42
GORONTALO,8.29
SULAWESI BARAT,8.15
MALUKU,10.26
MALUKU UTARA,9.37
PAPUA BARAT,7.86
PAPUA,9.82
