Wilayah,Laju_Pertumbuhan_2020
ACEH,-0.37
SUMATERA UTARA,-1.07
SUMATERA BARAT,-1.61
RIAU,-1.13
JAMBI,-0.51
SUMATERA SELATAN,-0.11
BENGKULU,-0.02
LAMPUNG,-1.66
KEPULAUAN BANGKA BELITUNG,-2.29
KEPULAUAN RIAU,-3.8
DKI JAKARTA,-2.39
JAWA BARAT,-2.52
JAWA TENGAH,-2.65
DI YOGYAKARTA,-2.67
JAWA TIMUR,-2.33
BANTEN,-3.39
BALI,-9.34
NUSA TENGGARA BARAT,-0.62
NUSA TENGGARA TIMUR,-0.84
KALIMANTAN BARAT,-1.82
KALIMANTAN TENGAH,-1.41
KALIMANTAN SELATAN,-1.82
KALIMANTAN TIMUR,-2.9
KALIMANTAN UTARA,-1.09
SULAWESI UTARA,-0.99
SULAWESI TENGAH,4.86
SULAWESI SELATAN,-0.71
SULAWESI TENGGARA,-0.65
GORONTALO,-0.02
SULAWESI BARAT,-2.34
MALUKU,-0.91
MALUKU UTARA,5.39
PAPUA BARAT,-0.76
PAPUA,2.39
