Wilayah,PengeluaranPerKapita_2021
ACEH,9572000
SUMATERA UTARA,10499000
SUMATERA BARAT,10790000
RIAU,10736000
JAMBI,10588000
SUMATERA SELATAN,10662000
BENGKULU,10487000
LAMPUNG,10038000
KEPULAUAN BANGKA BELITUNG,12819000
KEPULAUAN RIAU,14122000
DKI JAKARTA,18520000
JAWA BARAT,10934000
JAWA TENGAH,11034000
DI YOGYAKARTA,14111000
JAWA TIMUR,11707000
BANTEN,12033000
BALI,13820000
NUSA TENGGARA BARAT,10377000
NUSA TENGGARA TIMUR,7554000
KALIMANTAN BARAT,8974000
KALIMANTAN TENGAH,11182000
KALIMANTAN SELATAN,12143000
KALIMANTAN TIMUR,12116000
KALIMANTAN UTARA,9075000
SULAWESI UTARA,10882000
SULAWESI TENGAH,9378000
SULAWESI SELATAN,11184000
SULAWESI TENGGARA,9381000
GORONTALO,10157000
SULAWESI BARAT,9153000
MALUKU,8770000
MALUKU UTARA,8140000
PAPUA BARAT,7929000
PAPUA,6955000
