Wilayah,RLS_2020
ACEH,9.33
SUMATERA UTARA,9.54
SUMATERA BARAT,8.99
RIAU,9.14
JAMBI,8.55
SUMATERA SELATAN,8.24
BENGKULU,8.84
LAMPUNG,8.05
KEPULAUAN BANGKA BELITUNG,8.06
KEPULAUAN RIAU,10.12
DKI JAKARTA,11.13
JAWA BARAT,8.55
JAWA TENGAH,7.69
DI YOGYAKARTA,9.55
JAWA TIMUR,7.78
BANTEN,8.89
BALI,8.95
NUSA TENGGARA BARAT,7.31
NUSA TENGGARA TIMUR,7.63
KALIMANTAN BARAT,7.37
KALIMANTAN TENGAH,8.59
KALIMANTAN SELATAN,8.29
KALIMANTAN TIMUR,9.77
KALIMANTAN UTARA,9
SULAWESI UTARA,9.49
SULAWESI TENGAH,8.83
SULAWESI SELATAN,8.38
SULAWESI TENGGARA,9.04
GORONTALO,7.82
SULAWESI BARAT,7.89
MALUKU,9.93
MALUKU UTARA,9.04
PAPUA BARAT,7.6
PAPUA,6.69
