Wilayah,HLS_2021
ACEH,14.36
SUMATERA UTARA,13.27
SUMATERA BARAT,14.09
RIAU,13.28
JAMBI,13.04
SUMATERA SELATAN,12.54
BENGKULU,13.67
LAMPUNG,12.73
KEPULAUAN BANGKA BELITUNG,12.17
KEPULAUAN RIAU,12.98
DKI JAKARTA,13.07
JAWA BARAT,12.61
JAWA TENGAH,12.77
DI YOGYAKARTA,15.64
JAWA TIMUR,13.36
BANTEN,13.02
BALI,13.4
NUSA TENGGARA BARAT,13.9
NUSA TENGGARA TIMUR,13.2
KALIMANTAN BARAT,12.65
KALIMANTAN TENGAH,12.74
KALIMANTAN SELATAN,12.81
KALIMANTAN TIMUR,13.81
KALIMANTAN UTARA,12.94
SULAWESI UTARA,12.94
SULAWESI TENGAH,13.23
SULAWESI SELATAN,13.52
SULAWESI TENGGARA,13.68
GORONTALO,13.11
SULAWESI BARAT,12.86
MALUKU,13.97
MALUKU UTARA,13.68
PAPUA BARAT,13.13
PAPUA,11.11
