Wilayah,UHH_2020
ACEH,69.93
SUMATERA UTARA,69.1
SUMATERA BARAT,69.47
RIAU,71.6
JAMBI,71.16
SUMATERA SELATAN,69.88
BENGKULU,69.35
LAMPUNG,70.65
KEP. BANGKA BELITUNG,70.64
KEPULAUAN RIAU,69.96
DKI JAKARTA,72.91
JAWA BARAT,73.04
JAWA TENGAH,74.37
D I YOGYAKARTA,74.99
JAWA TIMUR,71.3
BANTEN,69.96
BALI,72.13
NUSA TENGGARA BARAT,66.51
NUSA TENGGARA TIMUR,67.01
KALIMANTAN BARAT,70.69
KALIMANTAN TENGAH,69.74
KALIMANTAN SELATAN,68.66
KALIMANTAN TIMUR,74.33
KALIMANTAN UTARA,72.59
SULAWESI UTARA,71.69
SULAWESI TENGAH,68.69
SULAWESI SELATAN,70.57
SULAWESI TENGGARA,71.22
GORONTALO,68.07
SULAWESI BARAT,65.06
MALUKU,65.98
MALUKU UTARA,68.33
PAPUA BARAT,66.02
PAPUA,65.79
